PARTICIPANT ID;GOLD-MSI SCORE
1;60
2;58
3;63
4;83
5;68
6;30
7;53
8;78
9;57
10;66
11;92
12;53
13;101
14;63
15;70
16;54
17;101
18;55
19;46
20;73
21;58
22;60
23;49
24;52
25;68
26;67
27;44
28;46
29;96
30;74
31;101
32;86
33;98
34;80
35;79
36;53
37;79
38;99
39;75
40;65
41;59
42;63
43;82
44;53
45;88
46;119
47;64
48;82
49;49
50;49
51;89
52;108
53;62
54;35
55;57
56;108
57;83
58;99
59;54
60;69
61;49
62;87
63;37
64;79
65;103
66;106
67;77
68;107
69;90
70;91
71;82
72;54
73;100
74;101
75;81
76;115
77;73
78;62
79;100
80;85
81;69
82;51
83;46
84;70
85;56
86;83
87;69
88;104
89;60
90;58
91;29
92;72
93;87
94;34
95;81
96;110
97;52
98;79
99;80
100;85
101;66
102;64
103;85
104;90
105;62
106;77
107;73
108;83
109;78
110;110
111;89
112;79
113;43
114;85
115;67
116;86
117;59
118;83
119;88
